,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
389,vizgen_merfish_human_ovarian_cancer,04072023_194620_3,0.5,13.731313631611506,0.0,0.0,12,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
390,vizgen_merfish_human_ovarian_cancer,04072023_194620_4,0.5,13.740938417286777,0.0,0.0,16,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
391,vizgen_merfish_human_ovarian_cancer,04072023_190739_2,0.5,14.3571944171692,0.0,0.0,8,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
392,vizgen_merfish_human_ovarian_cancer,04072023_184128_1,0.50078145966662,14.453612270105541,0.0,0.0,4,0.1,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
393,vizgen_merfish_human_ovarian_cancer,04072023_182132_36,0.9975078597315351,8.083351383040256,500000.0,300.0,16,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
394,vizgen_merfish_human_ovarian_cancer,04072023_173852_35,0.9975460621177978,8.060261222048688,500000.0,300.0,12,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
395,vizgen_merfish_human_ovarian_cancer,04072023_162549_33,0.9877420586780651,8.373756150109468,500000.0,300.0,4,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
396,vizgen_merfish_human_ovarian_cancer,04072023_162549_34,0.9961891583970206,8.177616458165557,500000.0,300.0,8,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
397,vizgen_merfish_human_ovarian_cancer,04072023_153607_31,0.9981046616709202,8.190759352422823,500000.0,30.0,12,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
398,vizgen_merfish_human_ovarian_cancer,04072023_153607_32,0.9990267081183056,7.954865745745444,500000.0,30.0,16,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
399,vizgen_merfish_human_ovarian_cancer,04072023_153607_30,0.9973691945837491,8.02857404053908,500000.0,30.0,8,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
400,vizgen_merfish_human_ovarian_cancer,04072023_151759_29,0.9902658930036038,8.501213854329638,500000.0,30.0,4,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
401,vizgen_merfish_human_ovarian_cancer,04072023_145757_28,0.9987970419754675,10.212732523525268,500000.0,0.0,16,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
402,vizgen_merfish_human_ovarian_cancer,04072023_134206_27,0.9985688258632419,10.53644720861243,500000.0,0.0,12,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
403,vizgen_merfish_human_ovarian_cancer,04072023_133336_26,0.9971047354174816,10.616180865896014,500000.0,0.0,8,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
404,vizgen_merfish_human_ovarian_cancer,04072023_115207_25,0.9905685572457285,11.215439043869617,500000.0,0.0,4,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
405,vizgen_merfish_human_ovarian_cancer,04072023_114535_24,0.9960364841015806,8.207083360899816,50000.0,300.0,16,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
406,vizgen_merfish_human_ovarian_cancer,04072023_105443_23,0.9953651629570106,8.048865670230102,50000.0,300.0,12,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
407,vizgen_merfish_human_ovarian_cancer,04072023_105315_22,0.9917079207136854,8.1536551459343,50000.0,300.0,8,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
408,vizgen_merfish_human_ovarian_cancer,04072023_100225_21,0.9787516609366748,8.142471372695546,50000.0,300.0,4,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
409,vizgen_merfish_human_ovarian_cancer,04072023_092738_3,0.5,10.507897854815669,0.0,0.0,12,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
410,vizgen_merfish_human_ovarian_cancer,04072023_092738_14,0.991282907870558,10.611510937305555,50000.0,0.0,8,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
411,vizgen_merfish_human_ovarian_cancer,04072023_092738_1,0.500080607589684,11.172182724721191,0.0,0.0,4,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
412,vizgen_merfish_human_ovarian_cancer,04072023_092738_2,0.5,10.630969007702769,0.0,0.0,8,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
413,vizgen_merfish_human_ovarian_cancer,04072023_092738_5,0.9750905996092265,8.100627348881936,0.0,30.0,4,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
414,vizgen_merfish_human_ovarian_cancer,04072023_092738_10,0.9967468322861073,7.960978247131156,0.0,300.0,8,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
415,vizgen_merfish_human_ovarian_cancer,04072023_092738_4,0.5,10.411060736339762,0.0,0.0,16,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
416,vizgen_merfish_human_ovarian_cancer,04072023_092738_11,0.9987640473426027,8.099960119104962,0.0,300.0,12,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
417,vizgen_merfish_human_ovarian_cancer,04072023_092738_7,0.9956663045221066,8.168789335425238,0.0,30.0,12,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
418,vizgen_merfish_human_ovarian_cancer,04072023_092738_6,0.9949411216888051,8.279875208088132,0.0,30.0,8,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
419,vizgen_merfish_human_ovarian_cancer,04072023_092738_12,0.9990782615932089,8.06391609711298,0.0,300.0,16,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
420,vizgen_merfish_human_ovarian_cancer,04072023_092738_8,0.9956710499049928,8.061932503097996,0.0,30.0,16,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
421,vizgen_merfish_human_ovarian_cancer,04072023_092738_9,0.9757302147336557,8.610752557681117,0.0,300.0,4,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
422,vizgen_merfish_human_ovarian_cancer,04072023_092738_13,0.9809325846154522,11.089456649431549,50000.0,0.0,4,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
423,vizgen_merfish_human_ovarian_cancer,04072023_092735_15,0.997735854023224,10.470344995479081,50000.0,0.0,12,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
424,vizgen_merfish_human_ovarian_cancer,04072023_092735_17,0.9888669288312818,8.38958273050588,50000.0,30.0,4,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
