,dataset,timestamp,val_auroc_score,val_gene_expr_mse_score,lambda_edge_recon_,lambda_gene_expr_recon_,n_neighbors,nichenet_keep_target_genes_ratio,add_fc_gps_instead_of_gp_dict_gps,loss_weights
224,starmap_plus_mouse_cns,30062023_111248_28,0.997949498348043,0.9437672718146598,500000.0,0.0,16,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
225,starmap_plus_mouse_cns,30062023_111157_27,0.9974196449907469,0.9173686205784229,500000.0,0.0,12,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
226,starmap_plus_mouse_cns,30062023_110955_26,0.991585465078724,0.9268224345568119,500000.0,0.0,8,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
227,starmap_plus_mouse_cns,30062023_110813_25,0.9886813384684383,1.0017755409246638,500000.0,0.0,4,1.0,False,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
228,starmap_plus_mouse_cns,30062023_104835_24,0.997304428376195,0.5945786924824801,50000.0,300.0,16,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
229,starmap_plus_mouse_cns,30062023_104638_23,0.9969747278062306,0.6292609931442275,50000.0,300.0,12,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
230,starmap_plus_mouse_cns,30062023_103917_22,0.9944745993782159,0.6353256697719273,50000.0,300.0,8,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
231,starmap_plus_mouse_cns,30062023_103326_21,0.9823139509191918,0.7017958096563347,50000.0,300.0,4,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
232,starmap_plus_mouse_cns,30062023_102940_20,0.9982110246441731,0.6442854639733411,50000.0,30.0,16,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
233,starmap_plus_mouse_cns,30062023_100004_2,0.5280206573805019,0.9354469782249766,0.0,0.0,8,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
234,starmap_plus_mouse_cns,30062023_100002_11,0.996546849062355,0.6110172292596918,0.0,300.0,12,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
235,starmap_plus_mouse_cns,30062023_100002_9,0.9485775989449261,0.6833349710610581,0.0,300.0,4,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
236,starmap_plus_mouse_cns,30062023_100002_16,0.99676026348371,0.9276540335658939,50000.0,0.0,16,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
237,starmap_plus_mouse_cns,30062023_100001_13,0.9845971988559722,0.9889286705455119,50000.0,0.0,4,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
238,starmap_plus_mouse_cns,30062023_100001_12,0.9963487902584389,0.6190384264921207,0.0,300.0,16,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
239,starmap_plus_mouse_cns,30062023_100001_17,0.989390004627328,0.6640170895317501,50000.0,30.0,4,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
240,starmap_plus_mouse_cns,30062023_100001_14,0.9905318214325338,0.9176313134722437,50000.0,0.0,8,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
241,starmap_plus_mouse_cns,30062023_100001_15,0.9956816313598209,0.9373685510202384,50000.0,0.0,12,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
242,starmap_plus_mouse_cns,30062023_100001_18,0.9961891950910987,0.6244240262517303,50000.0,30.0,8,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
243,starmap_plus_mouse_cns,30062023_100001_10,0.9916056011026502,0.6761823393655964,0.0,300.0,8,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
244,starmap_plus_mouse_cns,30062023_100001_19,0.9975533869052023,0.6278386826659572,50000.0,30.0,12,1.0,False,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
245,starmap_plus_mouse_cns,30062023_100000_1,0.5536055436461966,0.9620852096743139,0.0,0.0,4,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
246,starmap_plus_mouse_cns,30062023_100000_5,0.9694151203493564,0.704139605720154,0.0,30.0,4,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
247,starmap_plus_mouse_cns,30062023_100000_6,0.9914566570491918,0.6634664752267814,0.0,30.0,8,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
248,starmap_plus_mouse_cns,30062023_100000_8,0.9943856783350621,0.6727885597124207,0.0,30.0,16,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
249,starmap_plus_mouse_cns,30062023_100000_7,0.9934224672944407,0.6252092957600787,0.0,30.0,12,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
250,starmap_plus_mouse_cns,30062023_100000_4,0.5303312098599186,0.9159441565631802,0.0,0.0,16,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
251,starmap_plus_mouse_cns,30062023_100000_3,0.5184278344124064,0.9472361575997685,0.0,0.0,12,1.0,False,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
252,starmap_plus_mouse_cns,29062023_222306_44,0.9976762315704101,0.4741721057763719,500000.0,300.0,16,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
253,starmap_plus_mouse_cns,29062023_221853_43,0.9962482562549823,0.4743959177479226,500000.0,300.0,12,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
254,starmap_plus_mouse_cns,29062023_213810_42,0.9940865967829374,0.47765112900440665,500000.0,300.0,8,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
255,starmap_plus_mouse_cns,29062023_213538_41,0.9843239454190061,0.5207383022423655,500000.0,300.0,4,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_300.0
256,starmap_plus_mouse_cns,29062023_211035_39,0.9979918786190839,0.4690361042309047,500000.0,30.0,16,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
257,starmap_plus_mouse_cns,29062023_210305_38,0.9973341685778924,0.4710203731878785,500000.0,30.0,12,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
258,starmap_plus_mouse_cns,29062023_205236_37,0.9955308053498666,0.4957882759186143,500000.0,30.0,8,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
259,starmap_plus_mouse_cns,29062023_204238_36,0.9896546022952817,0.49827943338374436,500000.0,30.0,4,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_30.0
260,starmap_plus_mouse_cns,29062023_203228_34,0.9971891682977911,0.6603699273651449,500000.0,0.0,16,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
261,starmap_plus_mouse_cns,29062023_201445_33,0.997128870370674,0.6541556751468847,500000.0,0.0,12,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
262,starmap_plus_mouse_cns,29062023_201321_32,0.9952211890724848,0.6770749894669892,500000.0,0.0,8,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
263,starmap_plus_mouse_cns,29062023_200710_31,0.9865895800318376,0.7039680111056947,500000.0,0.0,4,1.0,True,lambda_edge_recon_500000.0_+_lambda_gene_expr_recon_0.0
264,starmap_plus_mouse_cns,29062023_191722_29,0.9960930719722436,0.49139596273850933,50000.0,300.0,16,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
265,starmap_plus_mouse_cns,29062023_191330_28,0.9947465397128605,0.4749921580945083,50000.0,300.0,12,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
266,starmap_plus_mouse_cns,29062023_190634_27,0.9905518900794341,0.4741692987744387,50000.0,300.0,8,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
267,starmap_plus_mouse_cns,29062023_185701_26,0.9778373524296375,0.5224137376920368,50000.0,300.0,4,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_300.0
268,starmap_plus_mouse_cns,29062023_184439_24,0.9983775718212863,0.45802175559343056,50000.0,30.0,16,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
269,starmap_plus_mouse_cns,29062023_183211_23,0.9979631020209851,0.4633292810248927,50000.0,30.0,12,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
270,starmap_plus_mouse_cns,29062023_180008_22,0.9959596775358602,0.46430771400267445,50000.0,30.0,8,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
271,starmap_plus_mouse_cns,29062023_174130_21,0.9859515117305327,0.48797816345288353,50000.0,30.0,4,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_30.0
272,starmap_plus_mouse_cns,29062023_173027_19,0.9966933532693636,0.6532519454186962,50000.0,0.0,16,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
273,starmap_plus_mouse_cns,29062023_172116_18,0.9947496783247478,0.65591884855275,50000.0,0.0,12,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
274,starmap_plus_mouse_cns,29062023_171842_17,0.9904652315186159,0.6665430406191392,50000.0,0.0,8,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
275,starmap_plus_mouse_cns,29062023_165927_16,0.9833349581234254,0.6845989369430664,50000.0,0.0,4,1.0,True,lambda_edge_recon_50000.0_+_lambda_gene_expr_recon_0.0
276,starmap_plus_mouse_cns,29062023_162129_14,0.9994476484060208,0.4756036012893034,0.0,300.0,16,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
277,starmap_plus_mouse_cns,29062023_162125_13,0.9991355431572069,0.46800099939226125,0.0,300.0,12,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
278,starmap_plus_mouse_cns,29062023_161622_3,0.528005506328854,0.6536187165751006,0.0,0.0,12,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
279,starmap_plus_mouse_cns,29062023_161622_6,0.9780454201069418,0.49316675823063505,0.0,30.0,4,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
280,starmap_plus_mouse_cns,29062023_161622_4,0.5166107159963289,0.6295800103272576,0.0,0.0,16,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
281,starmap_plus_mouse_cns,29062023_161622_9,0.9978517545043334,0.4770469097268069,0.0,30.0,16,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
282,starmap_plus_mouse_cns,29062023_161622_8,0.9983278257408309,0.4834126476720013,0.0,30.0,12,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
283,starmap_plus_mouse_cns,29062023_161622_7,0.9978661393227477,0.4706225424312769,0.0,30.0,8,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_30.0
284,starmap_plus_mouse_cns,29062023_161622_11,0.9799036743225576,0.4995736676560262,0.0,300.0,4,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
285,starmap_plus_mouse_cns,29062023_161622_12,0.9974206427120667,0.4814526779410521,0.0,300.0,8,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_300.0
286,starmap_plus_mouse_cns,29062023_161622_1,0.5608306637730335,0.707934622097713,0.0,0.0,4,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
287,starmap_plus_mouse_cns,29062023_161622_2,0.5257144830996068,0.6472921178646726,0.0,0.0,8,1.0,True,lambda_edge_recon_0.0_+_lambda_gene_expr_recon_0.0
